"","date","tree","mature","egg","L1","L2","L3","L4","L5","imago","leaves"
"262",2005-05-09 12:00:00,"7.2B",0,0,29,0,0,0,0,0,9
"263",2005-05-13 12:00:00,"7.2B",0,0,17,0,0,0,0,0,8
"264",2005-05-14 12:00:00,"7.2B",0,0,12,0,0,0,0,0,8
"265",2005-05-16 12:00:00,"7.2B",0,0,0,0,0,0,0,0,7
"266",2005-05-02 12:00:00,"8.1",30,0,0,0,0,0,0,0,1
"267",2005-05-10 12:00:00,"8.1",0,20,0,0,0,0,0,0,6
"268",2005-05-11 12:00:00,"8.1",0,20,0,0,0,0,0,0,6
"269",2005-05-13 12:00:00,"8.1",0,20,0,0,0,0,0,0,6
"270",2005-05-14 12:00:00,"8.1",0,3,6,0,0,0,0,0,6
"271",2005-05-20 12:00:00,"8.1",0,0,0,0,0,0,0,0,6
"272",2005-05-07 12:00:00,"8.2",35,0,0,0,0,0,0,0,1
"273",2005-05-18 12:00:00,"8.2",0,31,6,0,0,0,0,0,6
"274",2005-05-24 12:00:00,"8.2",0,0,10,1,0,0,0,0,7
"275",2005-05-25 12:00:00,"8.2",0,0,8,6,0,0,0,0,7
"276",2005-05-29 12:00:00,"8.2",0,0,0,7,22,0,0,0,7
"277",2005-06-03 12:00:00,"8.2",0,0,0,0,4,29,0,0,7
"278",2005-06-08 12:00:00,"8.2",0,0,0,0,0,3,25,0,7
"279",2005-06-13 12:00:00,"8.2",0,0,0,0,0,0,0,0,1
"280",2005-06-15 12:00:00,"8.2",0,0,0,0,0,0,0,2,1
"281",2005-05-09 12:00:00,"9.1",35,0,0,0,0,0,0,0,1
"282",2005-05-20 12:00:00,"9.1",0,90,3,0,0,0,0,0,7
"283",2005-05-25 12:00:00,"9.1",0,35,9,0,0,0,0,0,12
"284",2005-05-27 12:00:00,"9.1",0,30,2,0,0,0,0,0,11
"285",2005-05-11 12:00:00,"9.2",35,0,0,0,0,0,0,0,1
"286",2005-05-22 12:00:00,"9.2",0,16,35,0,0,0,0,0,6
"287",2005-05-27 12:00:00,"9.2",0,0,9,2,0,0,0,0,12
"288",2005-06-01 12:00:00,"9.2",0,0,0,3,0,0,0,0,12
"289",2005-06-03 12:00:00,"9.2",0,0,0,0,0,0,0,0,12
