jour,X2021.IM,X2021.REIM,X2020.IM,X2020.REIM,X2019.IM,X2019.REIM,X2018.IM,X2018.REIM,X2017.IM,X2017.REIM,X2016.IM,X2016.REIM,X2015.IM,X2015.REIM,X2014.IM,X2014.REIM,X2013.IM,X2013.REIM,X2012.IM,X2012.REIM,X2011.IM,X2011.REIM,X2010.IM,X2010.REIM,X2009.IM,X2009.REIM,X2008.IM,X2008.REIM,X2007.IM,X2007.REIM,X2006.IM,X2006.REIM,X2005.IM,X2005.REIM,X2004.IM,X2004.REIM,X2003.IM,X2003.REIM,X2002.IM,X2002.REIM,X2001.IM,X2001.REIM,X2000.IM,X2000.REIM
92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,78,NA
94,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,22,NA,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,42,NA,NA,NA
95,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
97,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,24,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,NA
100,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,18,NA,NA,NA
102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
