"","A","B","lat","long","type"
"1084","not species A","species B",47.404675,18.82776389,"B"
"1085","not species A","species B",47.5461,18.936576,"B"
"1086","not species A","species B",48.153499,21.176258,"B"
"1087","not species A","species B",46.708282,17.765014,"B"
"1088","not species A","species B",46.9829,17.941711,"B"
"1089","not species A","species B",48.153499,21.176258,"B"
"1090","not species A","species B",48.338063,21.236752,"B"
"1108","not species A","species B",47.39111667,19.16323056,"B"
"1109","not species A","species B",47.404675,18.82776389,"B"
"1110","not species A","species B",47.64563056,19.02180556,"B"
"1193","species A","species B",45.11670556,7.39534444,"AB"
"1194","not species A","species B",46.37333611,13.13541389,"B"
"1197","not species A","species B",41.93260278,12.55545278,"B"
"1198","not species A","species B",43.85848056,10.57855556,"B"
"1199","not species A","species B",43.85848056,10.57855556,"B"
"1200","species A","species B",44.24661667,9.64042778,"AB"
"1201","species A","species B",44.24661667,9.64042778,"AB"
"1202","not species A","species B",44.36537778,10.57855556,"B"
"1203","not species A","species B",44.36537778,10.57855556,"B"
"1204","species A","species B",44.52925278,8.31253333,"AB"
"1205","not species A","species B",44.82990833,10.57855556,"B"
"1206","not species A","species B",44.98037778,8.56008333,"B"
"1207","species A","species B",45.11670556,7.39534444,"AB"
"1208","not species A","species B",45.14026111,10.74345556,"B"
"1209","not species A","species B",45.14026111,10.74345556,"B"
"1210","not species A","species B",45.540925,10.78270278,"B"
"1211","not species A","species B",45.540925,10.78270278,"B"
"1212","not species A","species B",45.56296667,9.40294444,"B"
"1213","not species A","species B",46.37333611,13.13541389,"B"
"1255","not species A","species B",50.766394,5.849287,"B"
"1256","not species A","species B",50.77764,5.856584,"B"
"1260","not species A","species B",40.89666,21.145213,"B"
"1356","species A","species B",40.59364444,-7.13675833,"AB"
"1357","species A","species B",40.60342222,-7.06793333,"AB"
"1358","species A","species B",40.90110556,-7.91566111,"AB"
"1359","species A","species B",41.75729444,-7.48301111,"AB"
"1366","not species A","species B",47.046501,21.918944,"B"
"1398","not species A","species B",43.891451,20.350173,"B"
"1399","not species A","species B",43.891451,20.350173,"B"
"1400","not species A","species B",43.891451,20.350173,"B"
"1401","not species A","species B",43.891451,20.350173,"B"
"1510","not species A","species B",43.88594167,20.34588056,"B"
"1511","not species A","species B",43.80389167,20.49227222,"B"
"1512","not species A","species B",43.80416667,20.49194444,"B"
"1513","not species A","species B",43.88594167,20.34588056,"B"
"1514","not species A","species B",43.93606111,20.3269,"B"
"1515","not species A","species B",43.93606111,20.3269,"B"
"1516","not species A","species B",43.93606111,20.3269,"B"
"1627","species A","species B",41.77248056,2.75928889,"AB"
"1632","species A","not species B",41.82493889,2.194,"A"
"1652","species A","not species B",42.20473056,2.37498889,"A"
"1653","species A","not species B",41.53005,2.34163889,"A"
"1654","species A","species B",41.77116944,2.76046111,"AB"
"1655","species A","species B",41.77248056,2.75928889,"AB"
"1656","species A","not species B",41.82493889,2.194,"A"
"1657","species A","not species B",41.83913889,2.20973056,"A"
"1658","species A","not species B",41.84571944,2.16975,"A"
"1659","species A","species B",41.84571944,2.16975,"AB"
"1660","species A","not species B",41.90015,2.09821944,"A"
"1661","species A","species B",41.91403611,-7.44498889,"AB"
"1662","species A","species B",41.93326667,-4.50157778,"AB"
"1663","species A","not species B",42.03526111,2.23246111,"A"
"1664","species A","species B",42.13648333,-1.78004444,"AB"
